id,label,initial_s,initial_e,initial_i,initial_r,initial_n,life_expectancy,time_renewal,ksi,gamma,sigma,nb_band,min_phi,max_phi,renewal,rho
1,Breeder,8000,1000,1000,0,10000,600,20,0.01,0.1,0.2,10,0,0,1,0.5
2,Broiler,4000,500,500,0,5000,40,20,0.1,0.1,0.2,60,0,0,1,0.5
